TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660282590.890254, b'redis-server',718594,1,232,0
1660282590.890285, b'redis-server',718594,0,232,0
1660282590.990404, b'redis-server',718594,1,232,0
1660282590.990438, b'redis-server',718594,0,232,0
1660282591.090584, b'redis-server',718594,1,232,0
1660282591.090614, b'redis-server',718594,0,232,0
1660282591.190718, b'redis-server',718594,1,232,0
1660282591.190770, b'redis-server',718594,0,4,0
1660282591.190781, b'redis-server',718594,1,4,0
1660282591.190802, b'redis-server',718594,0,39,0
1660282591.190803, b'redis-server',718594,1,39,0
1660282591.190808, b'redis-server',718594,0,1,0
1660282591.190825, b'redis-server',718594,1,1,0
1660282591.190849, b'redis-server',718594,0,4,0
1660282591.190853, b'redis-server',718594,1,4,0
1660282591.190865, b'redis-server',718594,0,39,0
1660282591.190866, b'redis-server',718594,1,39,0
1660282591.190868, b'redis-server',718594,0,1,0
1660282591.190875, b'redis-server',718594,1,1,0
1660282591.190896, b'redis-server',718594,0,232,0
1660282591.291012, b'redis-server',718594,1,232,0
1660282591.291051, b'redis-server',718594,0,232,0
1660282591.391163, b'redis-server',718594,1,232,0
1660282591.391183, b'redis-server',718594,0,232,0
1660282591.491291, b'redis-server',718594,1,232,0
1660282591.491308, b'redis-server',718594,0,232,0
1660282591.591419, b'redis-server',718594,1,232,0
1660282591.591444, b'redis-server',718594,0,232,0
1660282591.691553, b'redis-server',718594,1,232,0
1660282591.691576, b'redis-server',718594,0,232,0
1660282591.791686, b'redis-server',718594,1,232,0
1660282591.791714, b'redis-server',718594,0,232,0
1660282591.891827, b'redis-server',718594,1,232,0
1660282591.891859, b'redis-server',718594,0,232,0
1660282591.991968, b'redis-server',718594,1,232,0
1660282591.991991, b'redis-server',718594,0,232,0
1660282592.092261, b'redis-server',718594,1,232,0
1660282592.092278, b'redis-server',718594,0,232,0
1660282592.192363, b'redis-server',718594,1,232,0
1660282592.192395, b'redis-server',718594,0,232,0
1660282592.201100, b'redis-server',718594,1,232,0
